_io,pos_x,pos_y,pos_z,frame_number
<_io.BytesIO object at 0x00000194EF218CC0>,0.37204495072364807,0.026827281340956688,0.5554307103157043,819118
<_io.BytesIO object at 0x00000194EF218EA0>,0.2886405885219574,0.022781644016504288,0.5603453516960144,819118
<_io.BytesIO object at 0x00000194EF2780E0>,0.19707992672920227,0.018143370747566223,0.5637508034706116,819118
<_io.BytesIO object at 0x00000194EF218BD0>,0.372199147939682,0.025205165147781372,0.5558923482894897,819119
<_io.BytesIO object at 0x00000194EF218AE0>,0.28883427381515503,0.02170594222843647,0.5606734752655029,819119
<_io.BytesIO object at 0x00000194EF2789A0>,0.19705799221992493,0.01734592765569687,0.5638488531112671,819119
<_io.BytesIO object at 0x00000194EF218A40>,0.37221866846084595,0.023905783891677856,0.5559216141700745,819120
<_io.BytesIO object at 0x00000194EF2188B0>,0.28880074620246887,0.02061746083199978,0.5607160329818726,819120
<_io.BytesIO object at 0x00000194EF278900>,0.1970871090888977,0.016936326399445534,0.5638132095336914,819120
<_io.BytesIO object at 0x00000194EF2189F0>,0.37220561504364014,0.023405222222208977,0.5556578636169434,819121
<_io.BytesIO object at 0x00000194EF218DB0>,0.28887075185775757,0.02027692086994648,0.5605928897857666,819121
<_io.BytesIO object at 0x00000194EF2786D0>,0.1970503181219101,0.016679830849170685,0.563861072063446,819121
<_io.BytesIO object at 0x00000194EF2188B0>,0.37222322821617126,0.02332785539329052,0.5555786490440369,819122
<_io.BytesIO object at 0x00000194EF218E50>,0.2888548672199249,0.020196955651044846,0.5604722499847412,819122
<_io.BytesIO object at 0x00000194EF278950>,0.19705353677272797,0.01654898189008236,0.5637851357460022,819122
<_io.BytesIO object at 0x00000194EF218C70>,0.3722207248210907,0.023265330120921135,0.5557678937911987,819123
<_io.BytesIO object at 0x00000194EF218DB0>,0.2888694405555725,0.02015727385878563,0.5606102347373962,819123
<_io.BytesIO object at 0x00000194EF278040>,0.19705377519130707,0.016452597454190254,0.5638167858123779,819123
<_io.BytesIO object at 0x00000194EF218B80>,0.37209486961364746,0.0231554564088583,0.5558539628982544,819124
<_io.BytesIO object at 0x00000194EF218EA0>,0.28884032368659973,0.020064419135451317,0.5605553984642029,819124
<_io.BytesIO object at 0x00000194EF2787C0>,0.1972021460533142,0.016206327825784683,0.5639163851737976,819124
<_io.BytesIO object at 0x00000194EF218BD0>,0.3720357418060303,0.022945115342736244,0.5558193325996399,819125
