_io,pos_x,pos_y,pos_z,frame_number,trial_time
<_io.BytesIO object at 0x00000257B6557BD0>,0.3815635144710541,0.026526154950261116,0.553259015083313,681510,0.0
<_io.BytesIO object at 0x00000257B65574F0>,0.2977026402950287,0.026196062564849854,0.5578652024269104,681510,0.0
<_io.BytesIO object at 0x00000257B6557590>,0.20613646507263184,0.024720625951886177,0.5603996515274048,681510,0.0
<_io.BytesIO object at 0x00000257B6557950>,0.38158756494522095,0.024801010265946388,0.5533548593521118,681511,0.0
<_io.BytesIO object at 0x00000257B6557BD0>,0.29792511463165283,0.024652397260069847,0.5579074025154114,681511,0.0
<_io.BytesIO object at 0x00000257B6557C20>,0.20632709562778473,0.023655615746974945,0.5606626868247986,681511,0.0
<_io.BytesIO object at 0x00000257B6557C20>,0.38163721561431885,0.022921575233340263,0.5535998940467834,681512,0.0
<_io.BytesIO object at 0x00000257B6557EA0>,0.29815739393234253,0.022970883175730705,0.5579972267150879,681512,0.0
<_io.BytesIO object at 0x00000257B6557130>,0.20667733252048492,0.022527925670146942,0.5608729720115662,681512,0.0
<_io.BytesIO object at 0x00000257B6557590>,0.38182634115219116,0.020646512508392334,0.5540021657943726,681513,0.0
<_io.BytesIO object at 0x00000257B6557C20>,0.2983104884624481,0.021168353036046028,0.5583449006080627,681513,0.0
<_io.BytesIO object at 0x00000257B6557720>,0.20678600668907166,0.02138880454003811,0.5611091256141663,681513,0.0
<_io.BytesIO object at 0x00000257B6557720>,0.38196107745170593,0.019672520458698273,0.5537753701210022,681514,0.0
<_io.BytesIO object at 0x00000257B6557630>,0.29847443103790283,0.020539045333862305,0.5580472350120544,681514,0.0
<_io.BytesIO object at 0x00000257B6557090>,0.20680974423885345,0.02044891007244587,0.5608729124069214,681514,0.0
<_io.BytesIO object at 0x00000257B65577C0>,0.38207507133483887,0.020530160516500473,0.5532828569412231,681515,0.0
<_io.BytesIO object at 0x00000257B65579F0>,0.29855042695999146,0.020771190524101257,0.5578417181968689,681515,0.0
<_io.BytesIO object at 0x00000257B65574F0>,0.20702582597732544,0.020419808104634285,0.5605154633522034,681515,0.0
<_io.BytesIO object at 0x00000257B6557400>,0.3822041451931,0.020965605974197388,0.5531231760978699,681516,0.0
<_io.BytesIO object at 0x00000257B65572C0>,0.29852166771888733,0.02098841406404972,0.557844340801239,681516,0.0
<_io.BytesIO object at 0x00000257B6557130>,0.20713511109352112,0.020367182791233063,0.5604792237281799,681516,0.0
<_io.BytesIO object at 0x00000257B6557720>,0.38231420516967773,0.020909929648041725,0.552943766117096,681517,0.0
<_io.BytesIO object at 0x00000257B6557220>,0.29873955249786377,0.020939188078045845,0.5576058626174927,681517,0.0
<_io.BytesIO object at 0x00000257B6557630>,0.20730836689472198,0.020117828622460365,0.5605072975158691,681517,0.0
<_io.BytesIO object at 0x00000257B65571D0>,0.3824104368686676,0.020830785855650902,0.5527533292770386,681518,0.0
<_io.BytesIO object at 0x00000257B6557220>,0.29903489351272583,0.02067749947309494,0.5574309229850769,681518,0.0
<_io.BytesIO object at 0x00000257B6557E00>,0.20736615359783173,0.01991686411201954,0.5604676008224487,681518,0.0
<_io.BytesIO object at 0x00000257B6557400>,0.3825618028640747,0.02098529413342476,0.5525662302970886,681519,0.0
<_io.BytesIO object at 0x00000257B6557270>,0.29911020398139954,0.020607968792319298,0.5573323965072632,681519,0.0
<_io.BytesIO object at 0x00000257B6557360>,0.2076094150543213,0.019611721858382225,0.5603647828102112,681519,0.0
<_io.BytesIO object at 0x00000257B6557950>,0.3826460838317871,0.021056292578577995,0.5524333119392395,681520,0.0
<_io.BytesIO object at 0x00000257B6557C70>,0.2991500198841095,0.020592479035258293,0.5572406649589539,681520,0.0
<_io.BytesIO object at 0x00000257B65574F0>,0.20752687752246857,0.019310230389237404,0.5603698492050171,681520,0.0
<_io.BytesIO object at 0x00000257B65571D0>,0.38269269466400146,0.021121447905898094,0.5521720051765442,681521,0.0
<_io.BytesIO object at 0x00000257B6557860>,0.29912057518959045,0.020629482343792915,0.5571346282958984,681521,0.0
<_io.BytesIO object at 0x00000257B6557360>,0.20758187770843506,0.01923760026693344,0.5603146553039551,681521,0.0
<_io.BytesIO object at 0x00000257B65577C0>,0.38273438811302185,0.02118445374071598,0.5520557761192322,681522,0.0
<_io.BytesIO object at 0x00000257B6557130>,0.2992490828037262,0.02076020836830139,0.5569576025009155,681522,0.0
<_io.BytesIO object at 0x00000257B65578B0>,0.2076297402381897,0.019171254709362984,0.5602803826332092,681522,0.0
<_io.BytesIO object at 0x00000257B65578B0>,0.3827676475048065,0.021240370348095894,0.5519826412200928,681523,0.0
<_io.BytesIO object at 0x00000257B6557400>,0.2992019057273865,0.020694660022854805,0.5568894147872925,681523,0.0
<_io.BytesIO object at 0x00000257B6557AE0>,0.2076542228460312,0.019125420600175858,0.560258150100708,681523,0.0
<_io.BytesIO object at 0x00000257B6557590>,0.3827952444553375,0.021297495812177658,0.5519436597824097,681524,0.0
<_io.BytesIO object at 0x00000257B6557BD0>,0.2993069291114807,0.020788129419088364,0.5568854808807373,681524,0.0
<_io.BytesIO object at 0x00000257B6557270>,0.20778821408748627,0.019023273140192032,0.5603053569793701,681524,0.0
<_io.BytesIO object at 0x00000257B65574A0>,0.38281309604644775,0.021355807781219482,0.5519149899482727,681525,0.0
<_io.BytesIO object at 0x00000257B6557BD0>,0.29929080605506897,0.020826423540711403,0.5569648146629333,681525,0.0
<_io.BytesIO object at 0x00000257B6557B80>,0.2078101933002472,0.019031066447496414,0.5603148937225342,681525,0.0
<_io.BytesIO object at 0x00000257B6557CC0>,0.3828338086605072,0.021396631374955177,0.5519057512283325,681526,0.0
<_io.BytesIO object at 0x00000257B65574A0>,0.29930466413497925,0.020855998620390892,0.556970477104187,681526,0.0
<_io.BytesIO object at 0x00000257B65575E0>,0.20771856606006622,0.0191548652946949,0.5602834224700928,681526,0.0
<_io.BytesIO object at 0x00000257B6557220>,0.38283592462539673,0.02140570431947708,0.5519028306007385,681527,0.0
<_io.BytesIO object at 0x00000257B6557CC0>,0.2993018329143524,0.02087613008916378,0.5569897890090942,681527,0.0
<_io.BytesIO object at 0x00000257B6557900>,0.2077542245388031,0.01901295967400074,0.5602512955665588,681527,0.0
<_io.BytesIO object at 0x00000257B6557450>,0.38284406065940857,0.021402893587946892,0.5519123077392578,681528,0.0
<_io.BytesIO object at 0x00000257B6557900>,0.2993111312389374,0.020880788564682007,0.5570189356803894,681528,0.0
<_io.BytesIO object at 0x00000257B65577C0>,0.20789995789527893,0.0192103274166584,0.5602521896362305,681528,0.0
<_io.BytesIO object at 0x00000257B65579F0>,0.3828360140323639,0.021408963948488235,0.5519466996192932,681529,0.0
<_io.BytesIO object at 0x00000257B6557220>,0.2992972731590271,0.02087906375527382,0.5570509433746338,681529,0.0
<_io.BytesIO object at 0x00000257B65574A0>,0.20774425566196442,0.019060667604207993,0.5603403449058533,681529,0.0
<_io.BytesIO object at 0x00000257B65570E0>,0.38282254338264465,0.02139725163578987,0.5519835948944092,681530,0.0
<_io.BytesIO object at 0x00000257B6557CC0>,0.2992917597293854,0.02089116722345352,0.5570874810218811,681530,0.0
<_io.BytesIO object at 0x00000257B65574A0>,0.20773109793663025,0.01908622682094574,0.560388445854187,681530,0.0
<_io.BytesIO object at 0x00000257B6557090>,0.38280510902404785,0.021378658711910248,0.5520262122154236,681531,0.0
<_io.BytesIO object at 0x00000257B6557040>,0.2993496358394623,0.02081705629825592,0.5571742057800293,681531,0.0
<_io.BytesIO object at 0x00000257B65571D0>,0.20768481492996216,0.019099224358797073,0.5604689121246338,681531,0.0
<_io.BytesIO object at 0x00000257B65575E0>,0.3827742338180542,0.02135603502392769,0.5520709753036499,681532,0.0
<_io.BytesIO object at 0x00000257B6557130>,0.2993161678314209,0.02080300822854042,0.557237446308136,681532,0.0
<_io.BytesIO object at 0x00000257B6557180>,0.20767903327941895,0.019145486876368523,0.5605934262275696,681532,0.0
<_io.BytesIO object at 0x00000257B65570E0>,0.3827371299266815,0.021330734714865685,0.5521195530891418,681533,0.0
<_io.BytesIO object at 0x00000257B6557B80>,0.29920288920402527,0.020661678165197372,0.5573641061782837,681533,0.0
<_io.BytesIO object at 0x00000257B6557CC0>,0.20761647820472717,0.019146675243973732,0.5606476068496704,681533,0.0
<_io.BytesIO object at 0x00000257B6557090>,0.3826706111431122,0.021307040005922318,0.5521708130836487,681534,0.0
<_io.BytesIO object at 0x00000257B6557D10>,0.29915523529052734,0.02062956430017948,0.5574266314506531,681534,0.0
<_io.BytesIO object at 0x00000257B6557040>,0.2075779139995575,0.01913091167807579,0.5606904029846191,681534,0.0
<_io.BytesIO object at 0x00000257B65575E0>,0.3826151490211487,0.021274635568261147,0.552216649055481,681535,0.0
<_io.BytesIO object at 0x00000257B6557680>,0.2991316318511963,0.02058490552008152,0.557393491268158,681535,0.0
<_io.BytesIO object at 0x00000257B6557130>,0.2075386345386505,0.019107811152935028,0.5607239603996277,681535,0.0
<_io.BytesIO object at 0x00000257B65570E0>,0.38258710503578186,0.021244728937745094,0.5523908734321594,681536,0.0
<_io.BytesIO object at 0x00000257B6557E00>,0.29909905791282654,0.02057156339287758,0.5574357509613037,681536,0.0
<_io.BytesIO object at 0x00000257B6557B80>,0.20749591290950775,0.019079633057117462,0.5607665777206421,681536,0.0
<_io.BytesIO object at 0x00000257B6557090>,0.38251644372940063,0.021225152537226677,0.5525012612342834,681537,0.0
<_io.BytesIO object at 0x00000257B6557B30>,0.2990601360797882,0.020551422610878944,0.5575044751167297,681537,0.0
<_io.BytesIO object at 0x00000257B6557D10>,0.2072918564081192,0.0190667062997818,0.5609856843948364,681537,0.0
<_io.BytesIO object at 0x00000257B6557D10>,0.3824557363986969,0.02123643085360527,0.5525801181793213,681538,0.0
<_io.BytesIO object at 0x00000257B6557D60>,0.29884234070777893,0.020520031452178955,0.5576918125152588,681538,0.0
<_io.BytesIO object at 0x00000257B6557770>,0.20726175606250763,0.01905605010688305,0.56103515625,681538,0.0
<_io.BytesIO object at 0x00000257B6557630>,0.3822658956050873,0.021405592560768127,0.5527033805847168,681539,0.0
<_io.BytesIO object at 0x00000257B6557D10>,0.29882100224494934,0.020531542599201202,0.5577408075332642,681539,0.0
<_io.BytesIO object at 0x00000257B65579F0>,0.20725581049919128,0.019036415964365005,0.5610885620117188,681539,0.0
<_io.BytesIO object at 0x00000257B6557C70>,0.38225167989730835,0.021417556330561638,0.5527667999267578,681540,0.0
<_io.BytesIO object at 0x00000257B65572C0>,0.2988101541996002,0.02052651159465313,0.5578035712242126,681540,0.0
<_io.BytesIO object at 0x00000257B6557220>,0.2072390615940094,0.019039614126086235,0.5611191987991333,681540,0.0
<_io.BytesIO object at 0x00000257B6557680>,0.38225293159484863,0.021418273448944092,0.5528219938278198,681541,0.0
<_io.BytesIO object at 0x00000257B6557D60>,0.29879724979400635,0.02052919566631317,0.5578308701515198,681541,0.0
<_io.BytesIO object at 0x00000257B65574A0>,0.20724214613437653,0.019036253914237022,0.5611390471458435,681541,0.0
<_io.BytesIO object at 0x00000257B6557630>,0.38225057721138,0.02141948789358139,0.5528621077537537,681542,0.0
