_io,pos_x,pos_y,pos_z,frame_number
<_io.BytesIO object at 0x000001DC13EA79F0>,0.38320544362068176,-0.020730040967464447,0.6477187275886536,227269
<_io.BytesIO object at 0x000001DC13EA7D10>,0.32851642370224,0.01669776812195778,0.6602190732955933,227269
<_io.BytesIO object at 0x000001DC13EA7F90>,0.3998245596885681,-0.01943139173090458,0.5882075428962708,227269
<_io.BytesIO object at 0x000001DC13EA7220>,0.32430756092071533,0.04216451570391655,0.5889677405357361,227269
<_io.BytesIO object at 0x000001DC13EA72C0>,0.2962155342102051,0.013722378760576248,0.6159734725952148,227269
<_io.BytesIO object at 0x000001DC13EC50E0>,0.2921489477157593,-0.014370127581059933,0.572947084903717,227269
<_io.BytesIO object at 0x000001DC13EC52C0>,0.3121480643749237,0.00047981648822315037,0.5369479656219482,227269
<_io.BytesIO object at 0x000001DC13EC54A0>,0.32088184356689453,0.03731861710548401,0.4993685781955719,227269
<_io.BytesIO object at 0x000001DC13EC5680>,0.3848945200443268,0.02698376774787903,0.5142362713813782,227269
<_io.BytesIO object at 0x000001DC13EC5860>,0.4040258526802063,-0.005559728480875492,0.5342470407485962,227269
<_io.BytesIO object at 0x000001DC13EA7AE0>,0.3832671642303467,-0.02072993293404579,0.6475967764854431,227270
<_io.BytesIO object at 0x000001DC13EA7400>,0.3284211754798889,0.016464335843920708,0.6601235270500183,227270
<_io.BytesIO object at 0x000001DC13EA79A0>,0.3997748792171478,-0.019495967775583267,0.588110089302063,227270
<_io.BytesIO object at 0x000001DC13EA7D10>,0.32405152916908264,0.041932363063097,0.5887917280197144,227270
<_io.BytesIO object at 0x000001DC13EA7950>,0.2961048483848572,0.01333445031195879,0.615844190120697,227270
<_io.BytesIO object at 0x000001DC13EC5590>,0.2911983132362366,-0.014396958984434605,0.5724777579307556,227270
<_io.BytesIO object at 0x000001DC13EC59A0>,0.3120092749595642,6.854104412923334e-07,0.536831259727478,227270
<_io.BytesIO object at 0x000001DC13EC5680>,0.32066044211387634,0.0368196964263916,0.49905431270599365,227270
<_io.BytesIO object at 0x000001DC13EC5860>,0.38466063141822815,0.02662203274667263,0.5140168070793152,227270
<_io.BytesIO object at 0x000001DC13EC5400>,0.40384146571159363,-0.005742968991398811,0.5340438485145569,227270
<_io.BytesIO object at 0x000001DC13F07400>,0.3833250105381012,-0.02076701447367668,0.6474864482879639,227271
<_io.BytesIO object at 0x000001DC13F07450>,0.32831519842147827,0.016236847266554832,0.6599977016448975,227271
<_io.BytesIO object at 0x000001DC13F07180>,0.3996995985507965,-0.01956629939377308,0.5879925489425659,227271
<_io.BytesIO object at 0x000001DC13EC5C70>,0.3240149915218353,0.041473984718322754,0.588605523109436,227271
<_io.BytesIO object at 0x000001DC13EC5E00>,0.2960045337677002,0.012982890009880066,0.6157269477844238,227271
<_io.BytesIO object at 0x000001DC13EC5270>,0.29127776622772217,-0.015107350423932076,0.5723993182182312,227271
<_io.BytesIO object at 0x000001DC13EC5220>,0.3118208944797516,-0.0005979884881526232,0.5367521047592163,227271
<_io.BytesIO object at 0x000001DC13EC58B0>,0.320400595664978,0.03636796772480011,0.498871773481369,227271
<_io.BytesIO object at 0x000001DC13EC5090>,0.38443005084991455,0.02628801017999649,0.513787031173706,227271
<_io.BytesIO object at 0x000001DC13EC5B30>,0.40379971265792847,-0.005993573926389217,0.5338882803916931,227271
<_io.BytesIO object at 0x000001DC13F07310>,0.3833112120628357,-0.020947208628058434,0.6473736763000488,227272
<_io.BytesIO object at 0x000001DC13F07630>,0.328199565410614,0.016016611829400063,0.6598628163337708,227272
