_io,pos_x,pos_y,pos_z,frame_number,trial_time
<_io.BytesIO object at 0x0000020E03202C20>,0.3981840908527374,0.028068838641047478,0.5453131794929504,714338,0.0
<_io.BytesIO object at 0x0000020E032023B0>,0.3148593306541443,0.02688571996986866,0.553276002407074,714338,0.0
<_io.BytesIO object at 0x0000020E03202720>,0.223733052611351,0.02468814328312874,0.5603941679000854,714338,0.0
<_io.BytesIO object at 0x0000020E030F2EF0>,0.3981840908527374,0.028068838641047478,0.5453131794929504,714338,0.0
<_io.BytesIO object at 0x0000020E030F2BD0>,0.3148593306541443,0.02688571996986866,0.553276002407074,714338,0.0
<_io.BytesIO object at 0x0000020E035123B0>,0.223733052611351,0.02468814328312874,0.5603941679000854,714338,0.0
<_io.BytesIO object at 0x0000020E030F2A90>,0.39816814661026,0.028028661385178566,0.5453084707260132,714339,0.0
<_io.BytesIO object at 0x0000020E030F2180>,0.3148512840270996,0.026872804388403893,0.5532712936401367,714339,0.0
<_io.BytesIO object at 0x0000020E03512F90>,0.22372420132160187,0.024697324261069298,0.560372531414032,714339,0.0
<_io.BytesIO object at 0x0000020E03202720>,0.39816814661026,0.028028661385178566,0.5453084707260132,714339,0.0
<_io.BytesIO object at 0x0000020E03202220>,0.3148512840270996,0.026872804388403893,0.5532712936401367,714339,0.0
<_io.BytesIO object at 0x0000020E03202E00>,0.22372420132160187,0.024697324261069298,0.560372531414032,714339,0.0
<_io.BytesIO object at 0x0000020E035120E0>,0.3981519639492035,0.028004424646496773,0.5453105568885803,714340,0.0
<_io.BytesIO object at 0x0000020E035128B0>,0.3148491084575653,0.026873398572206497,0.5532620549201965,714340,0.0
<_io.BytesIO object at 0x0000020E030F2BD0>,0.22371621429920197,0.024715375155210495,0.5603544116020203,714340,0.0
<_io.BytesIO object at 0x0000020E03202D10>,0.3981519639492035,0.028004424646496773,0.5453105568885803,714340,0.0
<_io.BytesIO object at 0x0000020E03202770>,0.3148491084575653,0.026873398572206497,0.5532620549201965,714340,0.0
<_io.BytesIO object at 0x0000020E03202860>,0.22371621429920197,0.024715375155210495,0.5603544116020203,714340,0.0
<_io.BytesIO object at 0x0000020E030F2220>,0.3981388807296753,0.027985963970422745,0.5453067421913147,714341,0.0
<_io.BytesIO object at 0x0000020E030F2180>,0.31484082341194153,0.02687772922217846,0.5532077550888062,714341,0.0
<_io.BytesIO object at 0x0000020E03512EF0>,0.22360780835151672,0.02465609461069107,0.5602834820747375,714341,0.0
<_io.BytesIO object at 0x0000020E03202BD0>,0.3981388807296753,0.027985963970422745,0.5453067421913147,714341,0.0
<_io.BytesIO object at 0x0000020E03202860>,0.31484082341194153,0.02687772922217846,0.5532077550888062,714341,0.0
<_io.BytesIO object at 0x0000020E03202040>,0.22360780835151672,0.02465609461069107,0.5602834820747375,714341,0.0
<_io.BytesIO object at 0x0000020E032025E0>,0.3981229364871979,0.027954459190368652,0.5453012585639954,714342,0.0
<_io.BytesIO object at 0x0000020E03202040>,0.31483331322669983,0.026876317337155342,0.553195059299469,714342,0.0
<_io.BytesIO object at 0x0000020E03202E50>,0.2235901951789856,0.02467617765069008,0.560255229473114,714342,0.0
<_io.BytesIO object at 0x0000020E030F2D60>,0.3981229364871979,0.027954459190368652,0.5453012585639954,714342,0.0
<_io.BytesIO object at 0x0000020E030F24F0>,0.31483331322669983,0.026876317337155342,0.553195059299469,714342,0.0
<_io.BytesIO object at 0x0000020E030F2810>,0.2235901951789856,0.02467617765069008,0.560255229473114,714342,0.0
<_io.BytesIO object at 0x0000020E035125E0>,0.39810624718666077,0.027919350191950798,0.5452988147735596,714343,0.0
<_io.BytesIO object at 0x0000020E030F26D0>,0.3147338926792145,0.026740839704871178,0.5532314777374268,714343,0.0
<_io.BytesIO object at 0x0000020E030F2C20>,0.2235775738954544,0.024687038734555244,0.5602222084999084,714343,0.0
<_io.BytesIO object at 0x0000020E032029A0>,0.39810624718666077,0.027919350191950798,0.5452988147735596,714343,0.0
<_io.BytesIO object at 0x0000020E03202E50>,0.3147338926792145,0.026740839704871178,0.5532314777374268,714343,0.0
<_io.BytesIO object at 0x0000020E03202CC0>,0.2235775738954544,0.024687038734555244,0.5602222084999084,714343,0.0
<_io.BytesIO object at 0x0000020E03202860>,0.39808234572410583,0.027880892157554626,0.5452845096588135,714344,0.0
<_io.BytesIO object at 0x0000020E03202950>,0.31485405564308167,0.026896001771092415,0.5531748533248901,714344,0.0
<_io.BytesIO object at 0x0000020E03202A90>,0.22356416285037994,0.02470528893172741,0.5601896643638611,714344,0.0
<_io.BytesIO object at 0x0000020E030F2A40>,0.39808234572410583,0.027880892157554626,0.5452845096588135,714344,0.0
<_io.BytesIO object at 0x0000020E030F2F40>,0.31485405564308167,0.026896001771092415,0.5531748533248901,714344,0.0
<_io.BytesIO object at 0x0000020E030F2810>,0.22356416285037994,0.02470528893172741,0.5601896643638611,714344,0.0
<_io.BytesIO object at 0x0000020E03512AE0>,0.39806443452835083,0.027829071506857872,0.5452554821968079,714345,0.0
<_io.BytesIO object at 0x0000020E030F2C70>,0.3147437572479248,0.026915626600384712,0.5530087947845459,714345,0.0
<_io.BytesIO object at 0x0000020E030F2220>,0.22356007993221283,0.024716263636946678,0.5601286292076111,714345,0.0
<_io.BytesIO object at 0x0000020E03202630>,0.39806443452835083,0.027829071506857872,0.5452554821968079,714345,0.0
<_io.BytesIO object at 0x0000020E03202A90>,0.3147437572479248,0.026915626600384712,0.5530087947845459,714345,0.0
<_io.BytesIO object at 0x0000020E03202040>,0.22356007993221283,0.024716263636946678,0.5601286292076111,714345,0.0
<_io.BytesIO object at 0x0000020E03202E50>,0.39815622568130493,0.028180573135614395,0.5454634428024292,714334,0.0
<_io.BytesIO object at 0x0000020E03202630>,0.314883291721344,0.02694825828075409,0.5533912777900696,714334,0.0
<_io.BytesIO object at 0x0000020E03202DB0>,0.2237539142370224,0.02469482086598873,0.5605162978172302,714334,0.0
<_io.BytesIO object at 0x0000020E032023B0>,0.39813852310180664,0.028153028339147568,0.5454153418540955,714335,0.0
<_io.BytesIO object at 0x0000020E03202180>,0.31488674879074097,0.026926424354314804,0.553342342376709,714335,0.0
<_io.BytesIO object at 0x0000020E06D8A9A0>,0.2237403839826584,0.02468528039753437,0.560498833656311,714335,0.0
<_io.BytesIO object at 0x0000020E030F2C70>,0.39818164706230164,0.028117425739765167,0.5453660488128662,714336,0.0
<_io.BytesIO object at 0x0000020E030F2A90>,0.31487399339675903,0.026915082708001137,0.5533199310302734,714336,0.0
<_io.BytesIO object at 0x0000020E033736D0>,0.22373290359973907,0.02467816136777401,0.5604710578918457,714336,0.0
<_io.BytesIO object at 0x0000020E03512F90>,0.3981885015964508,0.0280902199447155,0.545326292514801,714337,0.0
<_io.BytesIO object at 0x0000020E03512180>,0.31488198041915894,0.026908939704298973,0.5532559156417847,714337,0.0
<_io.BytesIO object at 0x0000020E03202540>,0.2237410694360733,0.02468629740178585,0.5604118704795837,714337,0.0
<_io.BytesIO object at 0x0000020E03202270>,0.3981840908527374,0.028068838641047478,0.5453131794929504,714338,0.0
<_io.BytesIO object at 0x0000020E03202770>,0.3148593306541443,0.02688571996986866,0.553276002407074,714338,0.0
<_io.BytesIO object at 0x0000020E03373C70>,0.223733052611351,0.02468814328312874,0.5603941679000854,714338,0.0
<_io.BytesIO object at 0x0000020E03170310>,0.39816814661026,0.028028661385178566,0.5453084707260132,714339,0.0
