_io,pos_x,pos_y,pos_z,frame_number,trial_time
<_io.BytesIO object at 0x0000020E030DE4A0>,0.38717782497406006,0.03060147911310196,0.5481898784637451,710640,0.0
<_io.BytesIO object at 0x0000020E030DE770>,0.30361396074295044,0.029812587425112724,0.5536736845970154,710640,0.0
<_io.BytesIO object at 0x0000020E030DEE50>,0.21213044226169586,0.028537029400467873,0.5578339099884033,710640,0.0
<_io.BytesIO object at 0x0000020E030DEE50>,0.3871926963329315,0.03064604476094246,0.5481587052345276,710641,0.0
<_io.BytesIO object at 0x0000020E030DEBD0>,0.3036222457885742,0.029846124351024628,0.5536522269248962,710641,0.0
<_io.BytesIO object at 0x0000020E030DE540>,0.21213911473751068,0.02854679524898529,0.5578153729438782,710641,0.0
<_io.BytesIO object at 0x0000020E030DEE00>,0.3872075080871582,0.03066934645175934,0.5481369495391846,710642,0.0
<_io.BytesIO object at 0x0000020E030DEE50>,0.303575336933136,0.029914556071162224,0.5536054968833923,710642,0.0
<_io.BytesIO object at 0x0000020E030DE090>,0.21214938163757324,0.028551362454891205,0.5578029751777649,710642,0.0
<_io.BytesIO object at 0x0000020E030DE6D0>,0.38709190487861633,0.03076890856027603,0.5480228066444397,710643,0.0
<_io.BytesIO object at 0x0000020E030DEA90>,0.30358797311782837,0.029916077852249146,0.5535996556282043,710643,0.0
<_io.BytesIO object at 0x0000020E030DE400>,0.21216043829917908,0.028545957058668137,0.5577995181083679,710643,0.0
<_io.BytesIO object at 0x0000020E030DE400>,0.38722938299179077,0.030673716217279434,0.5481058955192566,710644,0.0
<_io.BytesIO object at 0x0000020E030DEC20>,0.3037467300891876,0.029842009767889977,0.5536308288574219,710644,0.0
<_io.BytesIO object at 0x0000020E030DED10>,0.21216952800750732,0.028537163510918617,0.5577942132949829,710644,0.0
<_io.BytesIO object at 0x0000020E030DEF90>,0.38711798191070557,0.03073142096400261,0.5480161905288696,710645,0.0
<_io.BytesIO object at 0x0000020E030DE310>,0.303769052028656,0.029839061200618744,0.553584635257721,710645,0.0
<_io.BytesIO object at 0x0000020E030DE590>,0.21219371259212494,0.028517309576272964,0.5577850341796875,710645,0.0
<_io.BytesIO object at 0x0000020E030DE950>,0.3871290385723114,0.03072180412709713,0.5479986667633057,710646,0.0
<_io.BytesIO object at 0x0000020E030DE1D0>,0.3037714958190918,0.02981928177177906,0.5535779595375061,710646,0.0
<_io.BytesIO object at 0x0000020E030DE360>,0.2122088223695755,0.028492247685790062,0.5577796697616577,710646,0.0
<_io.BytesIO object at 0x0000020E030DE810>,0.3871399760246277,0.030711596831679344,0.5479949116706848,710647,0.0
<_io.BytesIO object at 0x0000020E030DE310>,0.3037843108177185,0.02980935387313366,0.5535808205604553,710647,0.0
<_io.BytesIO object at 0x0000020E030DEDB0>,0.21223528683185577,0.028448130935430527,0.5577865242958069,710647,0.0
<_io.BytesIO object at 0x0000020E030DEDB0>,0.3871455788612366,0.03070971928536892,0.5479886531829834,710648,0.0
<_io.BytesIO object at 0x0000020E030DECC0>,0.30379587411880493,0.029806561768054962,0.5535725951194763,710648,0.0
<_io.BytesIO object at 0x0000020E030DE4F0>,0.21224462985992432,0.028447449207305908,0.5577791929244995,710648,0.0
<_io.BytesIO object at 0x0000020E030DE720>,0.3872354328632355,0.03067268244922161,0.5479329228401184,710649,0.0
<_io.BytesIO object at 0x0000020E030DE8B0>,0.3038064241409302,0.029810206964612007,0.5535578727722168,710649,0.0
<_io.BytesIO object at 0x0000020E030DE590>,0.21224984526634216,0.028443528339266777,0.5577686429023743,710649,0.0
<_io.BytesIO object at 0x0000020E030DE950>,0.38717809319496155,0.03075418993830681,0.5479294657707214,710650,0.0
<_io.BytesIO object at 0x0000020E030DE360>,0.3037535846233368,0.029877783730626106,0.5535053610801697,710650,0.0
<_io.BytesIO object at 0x0000020E030DE5E0>,0.21227388083934784,0.028448164463043213,0.5577273368835449,710650,0.0
<_io.BytesIO object at 0x0000020E030DE5E0>,0.38739654421806335,0.030633682385087013,0.5479735732078552,710651,0.0
<_io.BytesIO object at 0x0000020E030DE1D0>,0.30380958318710327,0.029836907982826233,0.5535268187522888,710651,0.0
<_io.BytesIO object at 0x0000020E030DEE00>,0.21227936446666718,0.02845984324812889,0.5577101111412048,710651,0.0
<_io.BytesIO object at 0x0000020E030DE720>,0.3872718811035156,0.030748389661312103,0.5478473901748657,710652,0.0
<_io.BytesIO object at 0x0000020E030DE810>,0.3037582337856293,0.029912471771240234,0.5534743666648865,710652,0.0
