_io,pos_x,pos_y,pos_z,frame_number,trial_time
<_io.BytesIO object at 0x0000020E0300F400>,0.39630743861198425,0.08644416928291321,0.5484543442726135,715070,0.0
<_io.BytesIO object at 0x0000020E0300FCC0>,0.31377995014190674,0.07905616611242294,0.561126172542572,715070,0.0
<_io.BytesIO object at 0x0000020E03036900>,0.2231138050556183,0.06987430155277252,0.5729217529296875,715070,0.0
<_io.BytesIO object at 0x0000020E030AFD60>,0.39630743861198425,0.08644416928291321,0.5484543442726135,715070,0.0
<_io.BytesIO object at 0x0000020E0301E5E0>,0.31377995014190674,0.07905616611242294,0.561126172542572,715070,0.0
<_io.BytesIO object at 0x0000020E03007A40>,0.2231138050556183,0.06987430155277252,0.5729217529296875,715070,0.0
<_io.BytesIO object at 0x0000020E03007AE0>,0.39630743861198425,0.08644416928291321,0.5484543442726135,715070,0.0
<_io.BytesIO object at 0x0000020E030079A0>,0.31377995014190674,0.07905616611242294,0.561126172542572,715070,0.0
<_io.BytesIO object at 0x0000020E0300FDB0>,0.2231138050556183,0.06987430155277252,0.5729217529296875,715070,0.0
<_io.BytesIO object at 0x0000020E03202EF0>,0.39630743861198425,0.08644416928291321,0.5484543442726135,715070,0.0
<_io.BytesIO object at 0x0000020E032027C0>,0.31377995014190674,0.07905616611242294,0.561126172542572,715070,0.0
<_io.BytesIO object at 0x0000020E032023B0>,0.2231138050556183,0.06987430155277252,0.5729217529296875,715070,0.0
<_io.BytesIO object at 0x0000020E03383C20>,0.39630743861198425,0.08644416928291321,0.5484543442726135,715070,0.0
<_io.BytesIO object at 0x0000020E03383B30>,0.31377995014190674,0.07905616611242294,0.561126172542572,715070,0.0
<_io.BytesIO object at 0x0000020E03383590>,0.2231138050556183,0.06987430155277252,0.5729217529296875,715070,0.0
<_io.BytesIO object at 0x0000020E03383BD0>,0.39630743861198425,0.08644416928291321,0.5484543442726135,715070,0.0
<_io.BytesIO object at 0x0000020E033836D0>,0.31377995014190674,0.07905616611242294,0.561126172542572,715070,0.0
<_io.BytesIO object at 0x0000020E03383950>,0.2231138050556183,0.06987430155277252,0.5729217529296875,715070,0.0
<_io.BytesIO object at 0x0000020E030369F0>,0.39628171920776367,0.08650707453489304,0.5484693646430969,715071,0.0
<_io.BytesIO object at 0x0000020E03036B80>,0.31376904249191284,0.07909240573644638,0.5611210465431213,715071,0.0
<_io.BytesIO object at 0x0000020E033830E0>,0.22313816845417023,0.06991654634475708,0.5728138089179993,715071,0.0
<_io.BytesIO object at 0x0000020E03383BD0>,0.39628171920776367,0.08650707453489304,0.5484693646430969,715071,0.0
<_io.BytesIO object at 0x0000020E03383310>,0.31376904249191284,0.07909240573644638,0.5611210465431213,715071,0.0
