# KLIBS INFO
#  > KLibs Commit: 529304197d37310d7b63e14d345b69bb40d42826
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 80
#  > Blocks Per Session: 2
#
# SYSTEM INFO
#  > Operating System: Windows 10 (Build 19045) (64-bit)
#  > Python Version: 3.9.12 (64-bit)
#
# DISPLAY INFO
#  > Screen Size: 20" diagonal
#  > Resolution: 1920x1080 @ 60.0Hz
#  > View Distance: 57 cm

participant	sex	age	handedness	random_seed	block_num	trial_num	practicing	task_type	target_loc	target_size	distractor_size	go_signal_onset	distance_threshold	target_onset	response_time	movement_time	object_grasped
1736974488.675286	p	-1	a	568326297	1	1	TRUE	GBYK	left	large	large	1167.0063000001392	50	1780.086400000073	461.3751000015327	1518.2329999988724	target
1736974488.675286	p	-1	a	568326297	1	2	TRUE	GBYK	right	large	large	1733.0039999997098	50	2112.5379000004614	280.20700000161014	1991.9479999989562	distractor
1736974488.675286	p	-1	a	568326297	1	3	TRUE	GBYK	right	large	small	1513.0078999991383	50	1927.8072999986762	311.948399999892	1916.732100000445	distractor
1736974488.675286	p	-1	a	568326297	1	4	TRUE	GBYK	left	small	small	1885.0056999999651	70	2369.5530999993935	339.4449999996141	2338.487500001065	target
1736974488.675286	p	-1	a	568326297	1	5	TRUE	GBYK	left	small	large	1191.0062999995716	60	1839.0111999997316	535.4225999999471	1608.695599999919	target
1736974488.675286	p	-1	a	568326297	1	6	TRUE	GBYK	left	large	small	1518.0054000011296	80	1965.5942999997933	314.5686999996542	1759.0612000003603	target
1736974488.675286	p	-1	a	568326297	1	7	TRUE	GBYK	right	small	small	518.0031999989296	80	953.5514999988663	312.76920000163955	1015.2543999975023	distractor
1736974488.675286	p	-1	a	568326297	1	8	TRUE	GBYK	right	small	large	1240.001399999528	80	1679.1008999989572	297.31879999962985	1469.6882000007463	distractor
1736974488.675286	p	-1	a	568326297	2	1	FALSE	GBYK	left	small	large	579.0017999988777	90	1027.5194000005285	322.14870000098017	1125.280999998722	target
1736974488.675286	p	-1	a	568326297	2	2	FALSE	GBYK	left	small	small	1678.0061999997997	70	2148.1726999991224	335.9015999994881	2170.0548000007984	target
1736974488.675286	p	-1	a	568326297	2	3	FALSE	GBYK	right	small	small	1592.004199999792	60	1963.7125999997807	266.812600000776	2165.6668999985413	distractor
1736974488.675286	p	-1	a	568326297	2	4	FALSE	GBYK	right	large	small	830.003700000816	70	1306.6738000015903	344.4204000006721	1266.1624000011216	distractor
1736974488.675286	p	-1	a	568326297	2	5	FALSE	GBYK	left	large	large	1437.005499999941	90	1968.0901000010635	346.2319000009302	1719.720299999608	target
1736974488.675286	p	-1	a	568326297	2	6	FALSE	GBYK	left	large	small	1486.0054000000673	50	1863.0855999999767	285.95580000001064	1678.4921999988	target
1736974488.675286	p	-1	a	568326297	2	7	FALSE	GBYK	right	small	large	1853.0055999999604	50	2218.131900001026	284.86460000021907	2044.217300001037	distractor
1736974488.675286	p	-1	a	568326297	2	8	FALSE	GBYK	right	large	large	1047.0024999995076	50	1426.8462	284.6315000006143	1287.4084999984916	distractor
1736974488.675286	p	-1	a	568326297	2	9	FALSE	GBYK	right	small	large	931.0030000015104	80	1300.174000001789	260.8987999992678	1170.593300001201	distractor
1736974488.675286	p	-1	a	568326297	2	10	FALSE	GBYK	left	large	small	1608.0060000003868	80	2198.1257000006735	470.58470000047237	1854.652800000622	target
1736974488.675286	p	-1	a	568326297	2	11	FALSE	GBYK	left	large	small	1642.0058000003337	90	2073.0440999996063	300.91879999963567	1883.1095000005007	target
1736974488.675286	p	-1	a	568326297	2	12	FALSE	GBYK	right	large	large	1610.0026999993133	90	2134.165400000711	379.740700000184	1880.9272999988025	distractor
1736974488.675286	p	-1	a	568326297	2	13	FALSE	GBYK	right	large	large	958.0047000017657	50	1358.6315000011382	293.2087999997748	1226.9806000003882	distractor
1736974488.675286	p	-1	a	568326297	2	14	FALSE	GBYK	left	large	small	1549.0031999997882	80	2012.0443999985582	311.47690000034345	1829.7502999994322	target
1736974488.675286	p	-1	a	568326297	2	15	FALSE	GBYK	right	large	large	1533.0042999994475	60	1944.9181999989378	271.0100999993301	1797.0690999991348	distractor
1736974488.675286	p	-1	a	568326297	2	16	FALSE	GBYK	left	large	large	1499.0039999993314	50	1979.8396000005596	327.82350000161387	1815.204899998207	target
1736974488.675286	p	-1	a	568326297	2	17	FALSE	GBYK	right	small	large	1690.0048999996216	70	2150.865999999951	316.1651000009442	1982.8005999988818	distractor
1736974488.675286	p	-1	a	568326297	2	18	FALSE	GBYK	right	small	large	1339.0044999996462	80	1772.1477999984927	263.080999999147	1608.3662000000913	distractor
1736974488.675286	p	-1	a	568326297	2	19	FALSE	GBYK	left	small	small	1377.0048999995197	50	1813.0595999991783	295.9166999989975	1856.5319000008458	target
1736974488.675286	p	-1	a	568326297	2	20	FALSE	GBYK	left	large	large	1972.0037999995839	60	2451.451500000985	315.0204000012309	2221.3731999981974	target
1736974488.675286	p	-1	a	568326297	2	21	FALSE	GBYK	right	small	large	1011.006599999746	60	1403.4303999997064	286.4401999995607	1222.6484000002529	distractor
1736974488.675286	p	-1	a	568326297	2	22	FALSE	GBYK	right	large	small	1157.0021999996243	60	1604.3750999997428	289.5855999995547	1573.692600000868	distractor
1736974488.675286	p	-1	a	568326297	2	23	FALSE	GBYK	left	large	small	1828.005800000028	50	2269.7038000005705	374.98910000067553	1986.7489999996906	target
1736974488.675286	p	-1	a	568326297	2	24	FALSE	GBYK	right	small	large	878.0064000002312	50	1328.627900000356	336.94809999906283	1105.8937000016158	distractor
1736974488.675286	p	-1	a	568326297	2	25	FALSE	GBYK	left	small	large	940.0103999996645	80	1390.6071999990672	314.9666999997862	1308.3387999995466	target
1736974488.675286	p	-1	a	568326297	2	26	FALSE	GBYK	left	small	large	973.0955000013637	80	1380.5240000001504	267.27539999956207	1329.4187000010425	target
