_io,pos_x,pos_y,pos_z,frame_number
<_io.BytesIO object at 0x000001ED50BD1F90>,0.3769403100013733,0.02258465252816677,0.5408082604408264,1323875
<_io.BytesIO object at 0x000001ED50BD1220>,0.2952803075313568,0.020576711744070053,0.5577420592308044,1323875
<_io.BytesIO object at 0x000001ED50BD1E50>,0.20524337887763977,0.01750323362648487,0.5746476054191589,1323875
<_io.BytesIO object at 0x000001ED50BD1AE0>,0.37692204117774963,0.021503470838069916,0.5410473942756653,1323876
<_io.BytesIO object at 0x000001ED50BD1F90>,0.29527270793914795,0.019450271502137184,0.5579932332038879,1323876
<_io.BytesIO object at 0x000001ED50BD1310>,0.20525726675987244,0.01696341298520565,0.5747966766357422,1323876
<_io.BytesIO object at 0x000001ED50BD1220>,0.3769789934158325,0.02117115631699562,0.5404065847396851,1323877
<_io.BytesIO object at 0x000001ED50BD1360>,0.29521456360816956,0.019303100183606148,0.5573047399520874,1323877
<_io.BytesIO object at 0x000001ED50BD1B30>,0.2051767259836197,0.016972718760371208,0.5742298364639282,1323877
<_io.BytesIO object at 0x000001ED50BD1950>,0.3768113851547241,0.021509170532226562,0.5400378704071045,1323878
<_io.BytesIO object at 0x000001ED50BD16D0>,0.2952898442745209,0.019545504823327065,0.5570884943008423,1323878
<_io.BytesIO object at 0x000001ED50BD1270>,0.20516757667064667,0.017010770738124847,0.5740799903869629,1323878
<_io.BytesIO object at 0x000001ED50BD13B0>,0.3767395615577698,0.021862832829356194,0.5401206016540527,1323879
<_io.BytesIO object at 0x000001ED50BD1AE0>,0.2953205704689026,0.019646570086479187,0.5571032762527466,1323879
<_io.BytesIO object at 0x000001ED50BD1A90>,0.20519079267978668,0.017067644745111465,0.5740861296653748,1323879
<_io.BytesIO object at 0x000001ED50BD1360>,0.3767467737197876,0.02199726365506649,0.5401697754859924,1323880
<_io.BytesIO object at 0x000001ED50BD1630>,0.29533320665359497,0.01970869116485119,0.5571199655532837,1323880
<_io.BytesIO object at 0x000001ED50BD1720>,0.20520493388175964,0.017091356217861176,0.5740853548049927,1323880
<_io.BytesIO object at 0x000001ED50BD2CC0>,0.37675145268440247,0.022062940523028374,0.5400898456573486,1323881
<_io.BytesIO object at 0x000001ED50BD69F0>,0.29532986879348755,0.0197389367967844,0.5570772290229797,1323881
<_io.BytesIO object at 0x000001ED50BD69A0>,0.20521016418933868,0.01710611954331398,0.5740287899971008,1323881
<_io.BytesIO object at 0x000001ED50BD2950>,0.3768051564693451,0.022072816267609596,0.5399100184440613,1323882
<_io.BytesIO object at 0x000001ED50BD2C70>,0.29531437158584595,0.019755041226744652,0.5570143461227417,1323882
