_io,pos_x,pos_y,pos_z,frame_number
<_io.BytesIO object at 0x000001ED50C27680>,0.3837427794933319,0.01894472911953926,0.5471614003181458,1362869
<_io.BytesIO object at 0x000001ED4D04A090>,0.3015478551387787,0.019248127937316895,0.5603353381156921,1362869
<_io.BytesIO object at 0x000001ED4D04A4F0>,0.2105061560869217,0.01963767409324646,0.5729392170906067,1362869
<_io.BytesIO object at 0x000001ED50C028B0>,0.38407284021377563,0.017721425741910934,0.5474036931991577,1362870
<_io.BytesIO object at 0x000001ED50C27540>,0.30171728134155273,0.018391450867056847,0.5603486895561218,1362870
<_io.BytesIO object at 0x000001ED50C27E00>,0.2107548862695694,0.01922241784632206,0.5728118419647217,1362870
<_io.BytesIO object at 0x000001ED50C27680>,0.3841361105442047,0.01711638644337654,0.5474625825881958,1362871
<_io.BytesIO object at 0x000001ED4D04A090>,0.30176031589508057,0.017943697050213814,0.5603412985801697,1362871
<_io.BytesIO object at 0x000001ED4D04AEF0>,0.21086081862449646,0.018890388309955597,0.5725492835044861,1362871
<_io.BytesIO object at 0x000001ED4D04A630>,0.3844440281391144,0.017317447811365128,0.5473677515983582,1362872
<_io.BytesIO object at 0x000001ED50C27270>,0.30204564332962036,0.01793084293603897,0.5603277683258057,1362872
<_io.BytesIO object at 0x000001ED50C02AE0>,0.21114951372146606,0.018683351576328278,0.5725674033164978,1362872
<_io.BytesIO object at 0x000001ED50C27D60>,0.38468697667121887,0.017389101907610893,0.547404944896698,1362873
<_io.BytesIO object at 0x000001ED4D04A720>,0.30244874954223633,0.017967209219932556,0.5603321194648743,1362873
<_io.BytesIO object at 0x000001ED4D04A3B0>,0.2113770693540573,0.01857888139784336,0.5726569890975952,1362873
<_io.BytesIO object at 0x000001ED4D04A310>,0.38500475883483887,0.017385689541697502,0.5475075840950012,1362874
<_io.BytesIO object at 0x000001ED50C27680>,0.30274930596351624,0.017977967858314514,0.5603074431419373,1362874
<_io.BytesIO object at 0x000001ED50C270E0>,0.21164493262767792,0.01849767565727234,0.5727181434631348,1362874
<_io.BytesIO object at 0x000001ED28BA60E0>,0.38529083132743835,0.017422353848814964,0.5477585792541504,1362875
<_io.BytesIO object at 0x000001ED4D04A630>,0.3030354380607605,0.017953995615243912,0.5605661869049072,1362875
<_io.BytesIO object at 0x000001ED50C028B0>,0.2119814157485962,0.01857651211321354,0.572780191898346,1362875
<_io.BytesIO object at 0x000001ED4D04A720>,0.38568803668022156,0.017498811706900597,0.5481249094009399,1362876
<_io.BytesIO object at 0x000001ED50C279F0>,0.3035774827003479,0.01796957291662693,0.560836672782898,1362876
<_io.BytesIO object at 0x000001ED50C27540>,0.21238872408866882,0.018685495480895042,0.5729168057441711,1362876
<_io.BytesIO object at 0x000001ED50C27680>,0.3859230577945709,0.017667610198259354,0.5483802556991577,1362877
<_io.BytesIO object at 0x000001ED4D04AB30>,0.3037949204444885,0.018081124871969223,0.561080813407898,1362877
<_io.BytesIO object at 0x000001ED50C02AE0>,0.21272772550582886,0.018776610493659973,0.5730101466178894,1362877
<_io.BytesIO object at 0x000001ED4D04AB30>,0.3862272799015045,0.017843905836343765,0.5486061573028564,1362878
<_io.BytesIO object at 0x000001ED4D04A720>,0.30400392413139343,0.018179262056946754,0.5612301826477051,1362878
<_io.BytesIO object at 0x000001ED4D04A310>,0.21296070516109467,0.018920820206403732,0.5732589364051819,1362878
<_io.BytesIO object at 0x000001ED28BA60E0>,0.38670653104782104,0.018072642385959625,0.5489823818206787,1362879
<_io.BytesIO object at 0x000001ED4D04A630>,0.3042798340320587,0.01836916245520115,0.5612437725067139,1362879
<_io.BytesIO object at 0x000001ED4D04DE00>,0.21316178143024445,0.01900511234998703,0.5733335614204407,1362879
<_io.BytesIO object at 0x000001ED4D04AAE0>,0.38695624470710754,0.01828983798623085,0.549163281917572,1362880
<_io.BytesIO object at 0x000001ED4D04AEA0>,0.3046233654022217,0.018599756062030792,0.5617193579673767,1362880
<_io.BytesIO object at 0x000001ED50C27D60>,0.21355582773685455,0.019041914492845535,0.5735509991645813,1362880
<_io.BytesIO object at 0x000001ED50C27450>,0.3871873617172241,0.018470503389835358,0.5492632389068604,1362881
<_io.BytesIO object at 0x000001ED4D04AF40>,0.30498260259628296,0.018820852041244507,0.5618287920951843,1362881
<_io.BytesIO object at 0x000001ED4D04AEF0>,0.21389147639274597,0.0191335491836071,0.5735235214233398,1362881
<_io.BytesIO object at 0x000001ED4D04A310>,0.38739243149757385,0.01865396834909916,0.5493301749229431,1362882
<_io.BytesIO object at 0x000001ED4D04AEA0>,0.30517318844795227,0.018978886306285858,0.5618126392364502,1362882
<_io.BytesIO object at 0x000001ED50C27E00>,0.2141629010438919,0.019258085638284683,0.5735499262809753,1362882
<_io.BytesIO object at 0x000001ED4D04AEF0>,0.38764336705207825,0.018851738423109055,0.5493818521499634,1362883
<_io.BytesIO object at 0x000001ED4D04A4F0>,0.30547747015953064,0.019049720838665962,0.5618854761123657,1362883
<_io.BytesIO object at 0x000001ED4D04DEA0>,0.21433113515377045,0.01929362118244171,0.5735782384872437,1362883
<_io.BytesIO object at 0x000001ED4D04AAE0>,0.3880055844783783,0.018939128145575523,0.5496262907981873,1362884
<_io.BytesIO object at 0x000001ED50C028B0>,0.30571839213371277,0.019183913245797157,0.5618011951446533,1362884
<_io.BytesIO object at 0x000001ED4D04A4F0>,0.21456928551197052,0.0193466916680336,0.5736806988716125,1362884
<_io.BytesIO object at 0x000001ED4D04AEA0>,0.3881702423095703,0.019020378589630127,0.5496683120727539,1362885
<_io.BytesIO object at 0x000001ED50C27D10>,0.3058505356311798,0.019217170774936676,0.5618107914924622,1362885
<_io.BytesIO object at 0x000001ED50C270E0>,0.21471376717090607,0.019309256225824356,0.5735808610916138,1362885
<_io.BytesIO object at 0x000001ED50C27F40>,0.3883846700191498,0.019106393679976463,0.5496344566345215,1362886
<_io.BytesIO object at 0x000001ED50C27540>,0.30596381425857544,0.0192372165620327,0.56180739402771,1362886
<_io.BytesIO object at 0x000001ED4D04A4F0>,0.21483364701271057,0.01927930861711502,0.5735731720924377,1362886
<_io.BytesIO object at 0x000001ED50C02AE0>,0.3885008692741394,0.01916816271841526,0.5496583580970764,1362887
<_io.BytesIO object at 0x000001ED50C27540>,0.30606645345687866,0.01924590952694416,0.5618201494216919,1362887
<_io.BytesIO object at 0x000001ED50C27E00>,0.21507319808006287,0.0191328302025795,0.5736477375030518,1362887
<_io.BytesIO object at 0x000001ED50C279F0>,0.38862696290016174,0.019206466153264046,0.5497148036956787,1362888
<_io.BytesIO object at 0x000001ED50C27D60>,0.3062826991081238,0.019201993942260742,0.5620163679122925,1362888
<_io.BytesIO object at 0x000001ED4D04A310>,0.21521174907684326,0.019060682505369186,0.5736367702484131,1362888
<_io.BytesIO object at 0x000001ED50C27E00>,0.38870349526405334,0.019190283492207527,0.549845278263092,1362889
<_io.BytesIO object at 0x000001ED50C27270>,0.3065091669559479,0.019136173650622368,0.5620710849761963,1362889
<_io.BytesIO object at 0x000001ED4D04A3B0>,0.21530812978744507,0.01901709847152233,0.5736426711082458,1362889
<_io.BytesIO object at 0x000001ED50C27E00>,0.388812392950058,0.01921549253165722,0.5499540567398071,1362890
<_io.BytesIO object at 0x000001ED4D04D6D0>,0.30659958720207214,0.01910817250609398,0.5621157288551331,1362890
<_io.BytesIO object at 0x000001ED4D04A3B0>,0.21539632976055145,0.018953757360577583,0.5736490488052368,1362890
<_io.BytesIO object at 0x000001ED4D04D090>,0.3888915479183197,0.01929488405585289,0.5501341819763184,1362891
<_io.BytesIO object at 0x000001ED4D04DEA0>,0.3066854476928711,0.019079549238085747,0.5621888041496277,1362891
<_io.BytesIO object at 0x000001ED50C27F40>,0.21551454067230225,0.01884101703763008,0.5736904144287109,1362891
<_io.BytesIO object at 0x000001ED4D04DF40>,0.3891638219356537,0.019183792173862457,0.5504055023193359,1362892
<_io.BytesIO object at 0x000001ED4D04D2C0>,0.3067833483219147,0.018980903550982475,0.5624158978462219,1362892
<_io.BytesIO object at 0x000001ED4D04A720>,0.21566633880138397,0.018691260367631912,0.573767364025116,1362892
<_io.BytesIO object at 0x000001ED4D04AEF0>,0.38938140869140625,0.019302936270833015,0.5506685376167297,1362893
<_io.BytesIO object at 0x000001ED4D04D090>,0.3068673014640808,0.01895058900117874,0.5625202655792236,1362893
<_io.BytesIO object at 0x000001ED50C270E0>,0.21578949689865112,0.018624765798449516,0.5738792419433594,1362893
<_io.BytesIO object at 0x000001ED4D04D7C0>,0.3894845247268677,0.019212277606129646,0.5508828163146973,1362894
<_io.BytesIO object at 0x000001ED4D0374F0>,0.3069005608558655,0.01884894073009491,0.5627360939979553,1362894
<_io.BytesIO object at 0x000001ED4D04AAE0>,0.2159806340932846,0.018595632165670395,0.5738124847412109,1362894
<_io.BytesIO object at 0x000001ED4D04AEA0>,0.389577180147171,0.019209690392017365,0.5510693192481995,1362895
<_io.BytesIO object at 0x000001ED4D04D2C0>,0.3069829046726227,0.01881450228393078,0.5628122091293335,1362895
<_io.BytesIO object at 0x000001ED50C279F0>,0.21606436371803284,0.018518056720495224,0.5738264918327332,1362895
<_io.BytesIO object at 0x000001ED4D04A090>,0.38966500759124756,0.019256461411714554,0.5512847900390625,1362896
<_io.BytesIO object at 0x000001ED4D04AEF0>,0.30730298161506653,0.018728353083133698,0.5629814267158508,1362896
<_io.BytesIO object at 0x000001ED50C27180>,0.21618889272212982,0.01851601153612137,0.5738109350204468,1362896
<_io.BytesIO object at 0x000001ED50C02AE0>,0.38993901014328003,0.01912354864180088,0.5515314340591431,1362897
<_io.BytesIO object at 0x000001ED4D04DEA0>,0.3074910044670105,0.01869894564151764,0.5631203651428223,1362897
<_io.BytesIO object at 0x000001ED50C27180>,0.21655863523483276,0.018185561522841454,0.5739568471908569,1362897
<_io.BytesIO object at 0x000001ED4D04AAE0>,0.3900485634803772,0.01908113807439804,0.5516734719276428,1362898
<_io.BytesIO object at 0x000001ED4D04A720>,0.3076012432575226,0.018616024404764175,0.563209056854248,1362898
<_io.BytesIO object at 0x000001ED50C27180>,0.21666669845581055,0.018070751801133156,0.5739574432373047,1362898
<_io.BytesIO object at 0x000001ED4D04AEA0>,0.3902139961719513,0.01908532716333866,0.5518543124198914,1362899
<_io.BytesIO object at 0x000001ED4D04A4F0>,0.3077676296234131,0.018492214381694794,0.5633189678192139,1362899
<_io.BytesIO object at 0x000001ED50C27F40>,0.21677052974700928,0.017969433218240738,0.5739454627037048,1362899
<_io.BytesIO object at 0x000001ED4D04A090>,0.3903402090072632,0.019134962931275368,0.5519269108772278,1362900
