_io,pos_x,pos_y,pos_z,frame_number
<_io.BytesIO object at 0x000001AAAB2E8130>,0.5499505400657654,0.03944722190499306,-0.15723443031311035,1105226
<_io.BytesIO object at 0x000001AAAB2E8310>,0.6125394701957703,0.06901857256889343,-0.13949048519134521,1105226
<_io.BytesIO object at 0x000001AAAB2E84F0>,0.5340789556503296,0.028564924374222755,-0.13371039927005768,1105226
<_io.BytesIO object at 0x000001AAAB2E86D0>,0.6033289432525635,0.06382670253515244,-0.0672183558344841,1105226
<_io.BytesIO object at 0x000001AAAB2E88B0>,0.6190399527549744,0.0509333610534668,-0.10070451349020004,1105226
<_io.BytesIO object at 0x000001AAAB2E8A90>,0.6163495182991028,0.025229446589946747,-0.03736722469329834,1105226
<_io.BytesIO object at 0x000001AAAB2E8C70>,0.5829010009765625,0.027488326653838158,-0.017143812030553818,1105226
<_io.BytesIO object at 0x000001AAAB2E8E50>,0.6043872833251953,-0.014906685799360275,-0.08478105068206787,1105226
<_io.BytesIO object at 0x000001AAAB2EF090>,0.5135860443115234,0.04405378922820091,-0.011051088571548462,1105226
<_io.BytesIO object at 0x000001AAAB2EF270>,0.5053271651268005,0.00505420845001936,-0.06788969039916992,1105226
<_io.BytesIO object at 0x000001AAAB2E84A0>,0.5500237345695496,0.03898822143673897,-0.15725882351398468,1105227
<_io.BytesIO object at 0x000001AAAB2E8860>,0.6126427054405212,0.06830040365457535,-0.13946320116519928,1105227
<_io.BytesIO object at 0x000001AAAB2E8AE0>,0.5339046716690063,0.028214868158102036,-0.1338958740234375,1105227
<_io.BytesIO object at 0x000001AAAB2E8B30>,0.603293776512146,0.06337427347898483,-0.06759382784366608,1105227
<_io.BytesIO object at 0x000001AAAB2E8130>,0.618916392326355,0.05067218840122223,-0.10173887759447098,1105227
<_io.BytesIO object at 0x000001AAAB2E89F0>,0.6164553165435791,0.024606570601463318,-0.03752895072102547,1105227
<_io.BytesIO object at 0x000001AAAF027F40>,0.5834284424781799,0.026393365114927292,-0.018593255430459976,1105227
<_io.BytesIO object at 0x000001AAAB2EF4A0>,0.604154646396637,-0.015496108680963516,-0.08489709347486496,1105227
<_io.BytesIO object at 0x000001AAAB2EF1D0>,0.5133599042892456,0.04380318149924278,-0.011092430911958218,1105227
<_io.BytesIO object at 0x000001AAAB2EF4F0>,0.5051677227020264,0.004781655967235565,-0.06808978319168091,1105227
<_io.BytesIO object at 0x000001AAAB2E8220>,0.550200343132019,0.03820580616593361,-0.15740317106246948,1105228
<_io.BytesIO object at 0x000001AAAB2E8680>,0.6128166913986206,0.06753489375114441,-0.13950106501579285,1105228
<_io.BytesIO object at 0x000001AAAB2E8EF0>,0.5337521433830261,0.02790856920182705,-0.1340581625699997,1105228
<_io.BytesIO object at 0x000001AAAB2E83B0>,0.6039016842842102,0.062191788107156754,-0.06797768175601959,1105228
<_io.BytesIO object at 0x000001AAAB2E89F0>,0.6193346381187439,0.049099281430244446,-0.100574791431427,1105228
<_io.BytesIO object at 0x000001AAAB2E89A0>,0.6164323687553406,0.024291444569826126,-0.03755500167608261,1105228
<_io.BytesIO object at 0x000001AAAB2E86D0>,0.583420991897583,0.02659807913005352,-0.017097610980272293,1105228
<_io.BytesIO object at 0x000001AAAB2EF360>,0.6037017703056335,-0.01640753075480461,-0.08460215479135513,1105228
<_io.BytesIO object at 0x000001AAAB2EF680>,0.5130980610847473,0.04342896118760109,-0.011206387542188168,1105228
<_io.BytesIO object at 0x000001AAAB2EF4F0>,0.5048764944076538,0.004784323740750551,-0.0681113749742508,1105228
<_io.BytesIO object at 0x000001AAAB2E8B80>,0.5502769947052002,0.03743217885494232,-0.15740889310836792,1105229
<_io.BytesIO object at 0x000001AAAB2E8AE0>,0.6128975749015808,0.06664424389600754,-0.1394893378019333,1105229
<_io.BytesIO object at 0x000001AAAB2E8180>,0.5333778858184814,0.02727796509861946,-0.13427086174488068,1105229
<_io.BytesIO object at 0x000001AAAB2E84F0>,0.6041783690452576,0.06147179380059242,-0.0681508257985115,1105229
<_io.BytesIO object at 0x000001AAAB2E8680>,0.6196790933609009,0.04848996549844742,-0.09947727620601654,1105229
<_io.BytesIO object at 0x000001AAAB2E82C0>,0.6164692640304565,0.024283168837428093,-0.037288352847099304,1105229
<_io.BytesIO object at 0x000001AAAB2EFF40>,0.5834683775901794,0.0264267735183239,-0.017125142738223076,1105229
<_io.BytesIO object at 0x000001AAAB2EFCC0>,0.6033197045326233,-0.017185384407639503,-0.08429835736751556,1105229
<_io.BytesIO object at 0x000001AAAB2EFA90>,0.5128689408302307,0.04310151934623718,-0.011306099593639374,1105229
<_io.BytesIO object at 0x000001AAAB2EF860>,0.5045799016952515,0.0045710052363574505,-0.0681738555431366,1105229
<_io.BytesIO object at 0x000001AAAB2E8720>,0.5503337979316711,0.03663258254528046,-0.15744173526763916,1105230
<_io.BytesIO object at 0x000001AAAB2E8630>,0.6129953265190125,0.06581747531890869,-0.1394733339548111,1105230
<_io.BytesIO object at 0x000001AAAB2E8E50>,0.5330736637115479,0.026668166741728783,-0.1344325840473175,1105230
<_io.BytesIO object at 0x000001AAAB2E8F90>,0.6040578484535217,0.06110191345214844,-0.06811168789863586,1105230
<_io.BytesIO object at 0x000001AAAB2E8810>,0.6197640895843506,0.04788120463490486,-0.09971359372138977,1105230
<_io.BytesIO object at 0x000001AAAB2E8AE0>,0.6165110468864441,0.02426019124686718,-0.03711307421326637,1105230
<_io.BytesIO object at 0x000001AAAB2E8590>,0.5834710001945496,0.0263749398291111,-0.016931835561990738,1105230
<_io.BytesIO object at 0x000001AAAB2F8040>,0.6030306816101074,-0.017822880297899246,-0.08402010798454285,1105230
<_io.BytesIO object at 0x000001AAAB2F8220>,0.5125419497489929,0.04210739955306053,-0.011556343175470829,1105230
<_io.BytesIO object at 0x000001AAAB2F8400>,0.5043045878410339,0.004177423194050789,-0.06829071789979935,1105230
<_io.BytesIO object at 0x000001AAAB2E8590>,0.5505427718162537,0.03551893308758736,-0.1575019508600235,1105231
<_io.BytesIO object at 0x000001AAAB2E8450>,0.613021969795227,0.06486207991838455,-0.1393786519765854,1105231
<_io.BytesIO object at 0x000001AAAB2E82C0>,0.5328105092048645,0.026015812531113625,-0.13462668657302856,1105231
<_io.BytesIO object at 0x000001AAAB2E8C20>,0.6039523482322693,0.06077826768159866,-0.0680774450302124,1105231
<_io.BytesIO object at 0x000001AAAB2E81D0>,0.6196013689041138,0.047523848712444305,-0.10083658993244171,1105231
<_io.BytesIO object at 0x000001AAAB2E8720>,0.6165668368339539,0.024335641413927078,-0.036874834448099136,1105231
<_io.BytesIO object at 0x000001AAAB2F8F40>,0.583473265171051,0.026329586282372475,-0.016762692481279373,1105231
<_io.BytesIO object at 0x000001AAAB2F8CC0>,0.6027776002883911,-0.01842883974313736,-0.08360826969146729,1105231
<_io.BytesIO object at 0x000001AAAB2F8A90>,0.5122144222259521,0.041333217173814774,-0.01171619538217783,1105231
<_io.BytesIO object at 0x000001AAAB2F8860>,0.5040390491485596,0.003764157649129629,-0.0683828815817833,1105231
<_io.BytesIO object at 0x000001AAAB2E8220>,0.5506739020347595,0.03397749736905098,-0.15756207704544067,1105232
<_io.BytesIO object at 0x000001AAAB2E8F90>,0.6131042838096619,0.06396318972110748,-0.13934411108493805,1105232
<_io.BytesIO object at 0x000001AAAB2E8630>,0.5325693488121033,0.025307364761829376,-0.1347663700580597,1105232
<_io.BytesIO object at 0x000001AAAB2E89A0>,0.6038373708724976,0.0604158453643322,-0.0684681311249733,1105232
<_io.BytesIO object at 0x000001AAAB2E8450>,0.6194590330123901,0.047211162745952606,-0.10181920230388641,1105232
<_io.BytesIO object at 0x000001AAAB2E8D10>,0.6166156530380249,0.02440165914595127,-0.036666374653577805,1105232
<_io.BytesIO object at 0x000001AAAB2F89A0>,0.583530068397522,0.026128582656383514,-0.01667735166847706,1105232
<_io.BytesIO object at 0x000001AAAB2F80E0>,0.6025614142417908,-0.019030166789889336,-0.0831107571721077,1105232
<_io.BytesIO object at 0x000001AAAB2F8860>,0.5116824507713318,0.040707871317863464,-0.011969042010605335,1105232
<_io.BytesIO object at 0x000001AAAB2F8AE0>,0.5037990808486938,0.0033231244888156652,-0.06843597441911697,1105232
<_io.BytesIO object at 0x000001AAAB2F8220>,0.5506680011749268,0.03367127105593681,-0.15752066671848297,1105233
<_io.BytesIO object at 0x000001AAAB2F8400>,0.6131094098091125,0.0629568099975586,-0.1392747014760971,1105233
<_io.BytesIO object at 0x000001AAAB2F85E0>,0.5323154926300049,0.02447212114930153,-0.13488329946994781,1105233
<_io.BytesIO object at 0x000001AAAB2F8AE0>,0.603869616985321,0.0600740946829319,-0.06854711472988129,1105233
<_io.BytesIO object at 0x000001AAAB2F8E50>,0.6198202967643738,0.04561728984117508,-0.1012149453163147,1105233
<_io.BytesIO object at 0x000001AAAB2F8630>,0.6166239976882935,0.024309882894158363,-0.036437518894672394,1105233
<_io.BytesIO object at 0x000001AAAB2F8450>,0.583583652973175,0.026011118665337563,-0.016638802364468575,1105233
<_io.BytesIO object at 0x000001AAAF027F40>,0.6021621823310852,-0.019738836213946342,-0.08283146470785141,1105233
<_io.BytesIO object at 0x000001AAAB2E88B0>,0.5112070441246033,0.03986398130655289,-0.012397026643157005,1105233
<_io.BytesIO object at 0x000001AAAB2E8860>,0.5034676790237427,0.003041151911020279,-0.06851986050605774,1105233
<_io.BytesIO object at 0x000001AAAB2E8C70>,0.5511044263839722,0.0317961722612381,-0.1576143205165863,1105234
<_io.BytesIO object at 0x000001AAAB2E8950>,0.6130343079566956,0.06211264058947563,-0.13920913636684418,1105234
<_io.BytesIO object at 0x000001AAAB2E8540>,0.5320934057235718,0.023741282522678375,-0.13498559594154358,1105234
<_io.BytesIO object at 0x000001AAAB2E8720>,0.6040595769882202,0.05925828218460083,-0.06857195496559143,1105234
<_io.BytesIO object at 0x000001AAAB2E8E50>,0.6203534007072449,0.044900137931108475,-0.10019516944885254,1105234
<_io.BytesIO object at 0x000001AAAB2E8D10>,0.6166604161262512,0.024287283420562744,-0.03630707040429115,1105234
<_io.BytesIO object at 0x000001AAAB2E8900>,0.5836580395698547,0.02591819129884243,-0.016572294756770134,1105234
<_io.BytesIO object at 0x000001AAAB2EF040>,0.6020029783248901,-0.02049671858549118,-0.08209574222564697,1105234
<_io.BytesIO object at 0x000001AAAB2EF220>,0.5107433199882507,0.03948720172047615,-0.012635995633900166,1105234
<_io.BytesIO object at 0x000001AAAB2EF400>,0.5032973885536194,0.00255105784162879,-0.06846848130226135,1105234
<_io.BytesIO object at 0x000001AAAB2E8BD0>,0.5511819124221802,0.03090055100619793,-0.15758980810642242,1105235
<_io.BytesIO object at 0x000001AAAB2E8310>,0.6129873394966125,0.06130983307957649,-0.13907328248023987,1105235
<_io.BytesIO object at 0x000001AAAB2E8180>,0.5319492816925049,0.022968238219618797,-0.13499468564987183,1105235
<_io.BytesIO object at 0x000001AAAB2E8E50>,0.6038985252380371,0.05881093442440033,-0.06873936951160431,1105235
