_io,pos_x,pos_y,pos_z,frame_number
<_io.BytesIO object at 0x000001AAAB4407C0>,0.5382580161094666,0.01939336024224758,-0.15650296211242676,1109565
<_io.BytesIO object at 0x000001AAAB440540>,0.6016147136688232,0.04938522353768349,-0.14314024150371552,1109565
<_io.BytesIO object at 0x000001AAAB440310>,0.5222699046134949,0.009813093580305576,-0.1313096284866333,1109565
<_io.BytesIO object at 0x000001AAAB440220>,0.5980255603790283,0.050000231713056564,-0.07336915284395218,1109565
<_io.BytesIO object at 0x000001AAAB440DB0>,0.6107407808303833,0.03408191353082657,-0.1043989509344101,1109565
<_io.BytesIO object at 0x000001AAAB55B040>,0.6157821416854858,0.02353658154606819,-0.04031055420637131,1109565
<_io.BytesIO object at 0x000001AAAB55BF90>,0.5870866179466248,0.028097113594412804,-0.012404697015881538,1109565
<_io.BytesIO object at 0x000001AAAB55BD60>,0.5420404076576233,-0.016935788094997406,-0.009939877316355705,1109565
<_io.BytesIO object at 0x000001AAAB55BA90>,0.5095680356025696,0.039359308779239655,-0.007644313853234053,1109565
<_io.BytesIO object at 0x000001AAAB55B900>,0.5078953504562378,-0.017229288816452026,-0.06348691135644913,1109565
<_io.BytesIO object at 0x000001AAAB440680>,0.5381749868392944,0.019447283819317818,-0.1564641296863556,1109566
<_io.BytesIO object at 0x000001AAAB440090>,0.6015617847442627,0.04942670091986656,-0.1431325525045395,1109566
<_io.BytesIO object at 0x000001AAAB440BD0>,0.5223336219787598,0.009738692082464695,-0.13123664259910583,1109566
<_io.BytesIO object at 0x000001AAAB4406D0>,0.5980091691017151,0.049990370869636536,-0.07337876409292221,1109566
<_io.BytesIO object at 0x000001AAAB440CC0>,0.6107081174850464,0.03409101814031601,-0.10441362857818604,1109566
<_io.BytesIO object at 0x000001AAAB55BC20>,0.6157730221748352,0.02354683354496956,-0.040318813174963,1109566
<_io.BytesIO object at 0x000001AAAB55B7C0>,0.5871054530143738,0.028093526139855385,-0.012409741058945656,1109566
<_io.BytesIO object at 0x000001AAAB55BD60>,0.542214572429657,-0.01699945330619812,-0.009906647726893425,1109566
<_io.BytesIO object at 0x000001AAAB55B900>,0.5096126198768616,0.03939546272158623,-0.007594100199639797,1109566
<_io.BytesIO object at 0x000001AAAB55BF40>,0.5080035924911499,-0.017311133444309235,-0.0634181946516037,1109566
<_io.BytesIO object at 0x000001AAAB55BB30>,0.5380557775497437,0.019521592184901237,-0.1564035266637802,1109567
<_io.BytesIO object at 0x000001AAAB55B4F0>,0.6015068292617798,0.049438074231147766,-0.143120676279068,1109567
<_io.BytesIO object at 0x000001AAAB55B220>,0.5223694443702698,0.009674005210399628,-0.13115863502025604,1109567
<_io.BytesIO object at 0x000001AAAB55B400>,0.5979875922203064,0.04998214170336723,-0.07338342070579529,1109567
<_io.BytesIO object at 0x000001AAAB55BA40>,0.6106666326522827,0.034107644110918045,-0.10440988093614578,1109567
<_io.BytesIO object at 0x000001AAAB55B860>,0.6157559156417847,0.023535670712590218,-0.04034620523452759,1109567
<_io.BytesIO object at 0x000001AAAB55BE00>,0.5871179103851318,0.028089942410588264,-0.012421331368386745,1109567
<_io.BytesIO object at 0x000001AAAB4405E0>,0.5423719882965088,-0.017070304602384567,-0.009868061169981956,1109567
<_io.BytesIO object at 0x000001AAAB4402C0>,0.5096846222877502,0.03938865289092064,-0.007512824144214392,1109567
<_io.BytesIO object at 0x000001AAAB440BD0>,0.5080881714820862,-0.01738346554338932,-0.0633397325873375,1109567
<_io.BytesIO object at 0x000001AAAB4403B0>,0.5379565954208374,0.01954951137304306,-0.15635697543621063,1109568
<_io.BytesIO object at 0x000001AAAB440090>,0.6014513373374939,0.04943420737981796,-0.14310027658939362,1109568
<_io.BytesIO object at 0x000001AAAB4404A0>,0.5223777890205383,0.00961318053305149,-0.1310943067073822,1109568
<_io.BytesIO object at 0x000001AAAB440A90>,0.597963273525238,0.04997618496417999,-0.07338090986013412,1109568
<_io.BytesIO object at 0x000001AAAB440F90>,0.610616147518158,0.034111518412828445,-0.10441700369119644,1109568
<_io.BytesIO object at 0x000001AAAB55BEA0>,0.6157395243644714,0.023523380979895592,-0.040367309004068375,1109568
<_io.BytesIO object at 0x000001AAAB55B860>,0.587128758430481,0.02808680757880211,-0.012431473471224308,1109568
<_io.BytesIO object at 0x000001AAAB55B5E0>,0.5424982905387878,-0.017126822844147682,-0.009825686924159527,1109568
<_io.BytesIO object at 0x000001AAAB55B270>,0.5097476243972778,0.0393826924264431,-0.0074417078867554665,1109568
<_io.BytesIO object at 0x000001AAAB55B310>,0.5081512928009033,-0.01744743064045906,-0.06326346099376678,1109568
<_io.BytesIO object at 0x000001AAAB55B590>,0.5378739237785339,0.019570687785744667,-0.1563275009393692,1109569
<_io.BytesIO object at 0x000001AAAB55B0E0>,0.6013795137405396,0.04943934828042984,-0.14307457208633423,1109569
<_io.BytesIO object at 0x000001AAAB55B360>,0.5223747491836548,0.009569418616592884,-0.1310432255268097,1109569
<_io.BytesIO object at 0x000001AAAB55B720>,0.5981447696685791,0.049010083079338074,-0.0751076266169548,1109569
<_io.BytesIO object at 0x000001AAAB55B7C0>,0.6105846762657166,0.034120112657547,-0.10440386086702347,1109569
<_io.BytesIO object at 0x000001AAAB55BDB0>,0.6157251596450806,0.023512626066803932,-0.04038577526807785,1109569
<_io.BytesIO object at 0x000001AAAB55B810>,0.5871355533599854,0.02806875854730606,-0.012433761730790138,1109569
<_io.BytesIO object at 0x000001AAAB440F40>,0.5427507758140564,-0.017336757853627205,-0.010066172108054161,1109569
<_io.BytesIO object at 0x000001AAAB4409A0>,0.5097234845161438,0.039381712675094604,-0.007375366985797882,1109569
<_io.BytesIO object at 0x000001AAAB440220>,0.5082263350486755,-0.017554737627506256,-0.06339660286903381,1109569
<_io.BytesIO object at 0x000001AAAB4404F0>,0.5377930402755737,0.019585125148296356,-0.15630948543548584,1109570
<_io.BytesIO object at 0x000001AAAB440630>,0.6012985706329346,0.04936385154724121,-0.1430402398109436,1109570
<_io.BytesIO object at 0x000001AAAB440540>,0.5223438739776611,0.009522735141217709,-0.1310073882341385,1109570
<_io.BytesIO object at 0x000001AAAB440810>,0.5983036160469055,0.048164740204811096,-0.0766185075044632,1109570
<_io.BytesIO object at 0x000001AAAB4402C0>,0.6105403304100037,0.0340985506772995,-0.10441134870052338,1109570
<_io.BytesIO object at 0x000001AAAB55B4F0>,0.6157172918319702,0.02350984700024128,-0.04041311889886856,1109570
<_io.BytesIO object at 0x000001AAAB55BDB0>,0.5871357917785645,0.028059743344783783,-0.012451523914933205,1109570
<_io.BytesIO object at 0x000001AAAB55B6D0>,0.543133556842804,-0.01762806624174118,-0.010344318114221096,1109570
<_io.BytesIO object at 0x000001AAAB55BEF0>,0.5096998810768127,0.039332315325737,-0.007362040691077709,1109570
<_io.BytesIO object at 0x000001AAAB55B540>,0.5083464980125427,-0.01767798885703087,-0.06353096663951874,1109570
<_io.BytesIO object at 0x000001AAAB440180>,0.5377398729324341,0.019570183008909225,-0.1562984138727188,1109571
<_io.BytesIO object at 0x000001AAAB4405E0>,0.6012493968009949,0.049329888075590134,-0.14303293824195862,1109571
<_io.BytesIO object at 0x000001AAAB440CC0>,0.5223069787025452,0.009502573870122433,-0.13098083436489105,1109571
<_io.BytesIO object at 0x000001AAAB440090>,0.5978803634643555,0.048937998712062836,-0.07513590902090073,1109571
<_io.BytesIO object at 0x000001AAAB4408B0>,0.6105015277862549,0.03407968208193779,-0.10441789776086807,1109571
<_io.BytesIO object at 0x000001AAAB55BA40>,0.6157146692276001,0.02351566217839718,-0.04042782634496689,1109571
<_io.BytesIO object at 0x000001AAAB55B040>,0.5871308445930481,0.028037486597895622,-0.012461182661354542,1109571
<_io.BytesIO object at 0x000001AAAB55B6D0>,0.5430315136909485,-0.01758156716823578,-0.010090308263897896,1109571
<_io.BytesIO object at 0x000001AAAB55B540>,0.5096490979194641,0.03932975232601166,-0.007349114865064621,1109571
<_io.BytesIO object at 0x000001AAAB55B950>,0.5083046555519104,-0.017707347869873047,-0.06334132701158524,1109571
<_io.BytesIO object at 0x000001AAAB55BF40>,0.537704348564148,0.01954023540019989,-0.15628664195537567,1109572
<_io.BytesIO object at 0x000001AAAB55BEA0>,0.6012033224105835,0.04931626096367836,-0.14303311705589294,1109572
<_io.BytesIO object at 0x000001AAAB55B3B0>,0.5222747325897217,0.009484932757914066,-0.13095760345458984,1109572
<_io.BytesIO object at 0x000001AAAB55BAE0>,0.5979598760604858,0.04901127517223358,-0.07518605142831802,1109572
<_io.BytesIO object at 0x000001AAAB55BD60>,0.6104317903518677,0.033934496343135834,-0.10444090515375137,1109572
<_io.BytesIO object at 0x000001AAAB55B270>,0.6156894564628601,0.02350490167737007,-0.040447138249874115,1109572
<_io.BytesIO object at 0x000001AAAB55B9A0>,0.5871251821517944,0.028031883761286736,-0.012476502917706966,1109572
<_io.BytesIO object at 0x000001AAAB4406D0>,0.543059766292572,-0.017507463693618774,-0.0100453095510602,1109572
<_io.BytesIO object at 0x000001AAAB440630>,0.5095985531806946,0.039364688098430634,-0.007362165488302708,1109572
<_io.BytesIO object at 0x000001AAAB440F90>,0.5083047151565552,-0.017672965303063393,-0.06330275535583496,1109572
<_io.BytesIO object at 0x000001AAAB55BB30>,0.5376570224761963,0.01952909305691719,-0.15628257393836975,1109573
<_io.BytesIO object at 0x000001AAAB55BDB0>,0.6012030243873596,0.04930703341960907,-0.14305351674556732,1109573
<_io.BytesIO object at 0x000001AAAB55B630>,0.5222302079200745,0.009469599463045597,-0.13096775114536285,1109573
<_io.BytesIO object at 0x000001AAAB55B9A0>,0.5979246497154236,0.04895586147904396,-0.07520142197608948,1109573
<_io.BytesIO object at 0x000001AAAB55B3B0>,0.6104098558425903,0.03389307111501694,-0.10445777326822281,1109573
<_io.BytesIO object at 0x000001AAAB55B720>,0.615679144859314,0.0234946608543396,-0.04047244042158127,1109573
<_io.BytesIO object at 0x000001AAAB55BC70>,0.5871189832687378,0.028027283027768135,-0.012475279159843922,1109573
<_io.BytesIO object at 0x000001AAAB440590>,0.5430507659912109,-0.017492718994617462,-0.010031197220087051,1109573
<_io.BytesIO object at 0x000001AAAB4400E0>,0.5095542669296265,0.03939525783061981,-0.007373584900051355,1109573
<_io.BytesIO object at 0x000001AAAB440450>,0.5082736015319824,-0.017663614824414253,-0.06329897046089172,1109573
<_io.BytesIO object at 0x000001AAAB440900>,0.5376511812210083,0.01947363093495369,-0.15629519522190094,1109574
<_io.BytesIO object at 0x000001AAAB4409F0>,0.6011760830879211,0.049274977296590805,-0.14305777847766876,1109574
<_io.BytesIO object at 0x000001AAAB440630>,0.5221794247627258,0.009469066746532917,-0.13097502291202545,1109574
<_io.BytesIO object at 0x000001AAAB4406D0>,0.5979030728340149,0.048932887613773346,-0.07521773874759674,1109574
<_io.BytesIO object at 0x000001AAAB440810>,0.6103929877281189,0.033852480351924896,-0.10446017980575562,1109574
<_io.BytesIO object at 0x000001AAAB55B810>,0.6156760454177856,0.023469239473342896,-0.0405244380235672,1109574
<_io.BytesIO object at 0x000001AAAB55B720>,0.5871276259422302,0.02802184224128723,-0.012505427934229374,1109574
<_io.BytesIO object at 0x000001AAAB55B770>,0.5430259108543396,-0.017435839399695396,-0.009999235160648823,1109574
<_io.BytesIO object at 0x000001AAAB55B4A0>,0.5095347166061401,0.03949699178338051,-0.0073426151648163795,1109574
<_io.BytesIO object at 0x000001AAAB55BEF0>,0.5082331895828247,-0.017627455294132233,-0.06328137218952179,1109574
<_io.BytesIO object at 0x000001AAAB440180>,0.5376476049423218,0.01943925768136978,-0.15629738569259644,1109575
<_io.BytesIO object at 0x000001AAAB440540>,0.6011201739311218,0.04917050153017044,-0.14303986728191376,1109575
<_io.BytesIO object at 0x000001AAAB440A90>,0.5221247673034668,0.009476562961935997,-0.13099144399166107,1109575
<_io.BytesIO object at 0x000001AAAB440090>,0.5978841781616211,0.04891278222203255,-0.07523201406002045,1109575
<_io.BytesIO object at 0x000001AAAB440950>,0.6103752851486206,0.03380986303091049,-0.10447400063276291,1109575
<_io.BytesIO object at 0x000001AAAB55B270>,0.6156736612319946,0.023453550413250923,-0.040543220937252045,1109575
<_io.BytesIO object at 0x000001AAAB55B6D0>,0.5871351957321167,0.028017081320285797,-0.012531808577477932,1109575
<_io.BytesIO object at 0x000001AAAB55B770>,0.5429655909538269,-0.01738133281469345,-0.009965667501091957,1109575
<_io.BytesIO object at 0x000001AAAB55BEF0>,0.5095208883285522,0.03948478400707245,-0.007384378928691149,1109575
