_io,pos_x,pos_y,pos_z,frame_number
<_io.BytesIO object at 0x000001AAAB54DB80>,0.5309188365936279,0.034845806658267975,-0.15070748329162598,1109067
<_io.BytesIO object at 0x000001AAAB54D950>,0.594910204410553,0.06193244084715843,-0.13740645349025726,1109067
<_io.BytesIO object at 0x000001AAAB54D3B0>,0.5243326425552368,0.016504699364304543,-0.12236889451742172,1109067
<_io.BytesIO object at 0x000001AAAB6DA770>,0.5933458805084229,0.060134321451187134,-0.06757064163684845,1109067
<_io.BytesIO object at 0x000001AAAB6DAC20>,0.6045045852661133,0.044621340930461884,-0.09974880516529083,1109067
<_io.BytesIO object at 0x000001AAAB6DA3B0>,0.6096893548965454,0.025698866695165634,-0.035947490483522415,1109067
<_io.BytesIO object at 0x000001AAAB6DA090>,0.5777859687805176,0.0267455093562603,-0.010603208094835281,1109067
<_io.BytesIO object at 0x000001AAAB6DA590>,0.5498656630516052,-0.034850556403398514,-0.027036089450120926,1109067
<_io.BytesIO object at 0x000001AAAB6DA9A0>,0.5078229904174805,0.046521492302417755,0.0006815617671236396,1109067
<_io.BytesIO object at 0x000001AAAB6DAE50>,0.5050019025802612,-0.023637888953089714,-0.06920076161623001,1109067
<_io.BytesIO object at 0x000001AAAB54DBD0>,0.5310457944869995,0.034439485520124435,-0.15089091658592224,1109068
<_io.BytesIO object at 0x000001AAAB54D3B0>,0.5952212810516357,0.061147287487983704,-0.13765469193458557,1109068
<_io.BytesIO object at 0x000001AAAB54DEA0>,0.5229352712631226,0.017560873180627823,-0.12297109514474869,1109068
<_io.BytesIO object at 0x000001AAAB6DAAE0>,0.5941396355628967,0.059123147279024124,-0.0683860182762146,1109068
<_io.BytesIO object at 0x000001AAAB6DA9F0>,0.6049517393112183,0.04398514702916145,-0.10008782893419266,1109068
<_io.BytesIO object at 0x000001AAAB6DA2C0>,0.6098933815956116,0.02441880851984024,-0.036429136991500854,1109068
<_io.BytesIO object at 0x000001AAAB6DA9A0>,0.5777620673179626,0.02751924842596054,-0.009650989435613155,1109068
<_io.BytesIO object at 0x000001AAAB6DABD0>,0.5479106903076172,-0.03436453640460968,-0.02696922793984413,1109068
<_io.BytesIO object at 0x000001AAAB6DA130>,0.508138120174408,0.04645201191306114,0.0004600120009854436,1109068
<_io.BytesIO object at 0x000001AAAB6DA8B0>,0.5033591389656067,-0.022289283573627472,-0.0692901462316513,1109068
<_io.BytesIO object at 0x000001AAAB6DAEF0>,0.5313868522644043,0.03367481380701065,-0.15120896697044373,1109069
<_io.BytesIO object at 0x000001AAAB6DAD60>,0.5954585075378418,0.060302380472421646,-0.1378013640642166,1109069
<_io.BytesIO object at 0x000001AAAB6DA770>,0.5229225158691406,0.01632925122976303,-0.12307482957839966,1109069
<_io.BytesIO object at 0x000001AAAB6DA9A0>,0.5952275991439819,0.0576372928917408,-0.07041078060865402,1109069
