_io,pos_x,pos_y,pos_z,frame_number,trial_time
<_io.BytesIO object at 0x000002118EB1FE00>,0.3918553292751312,0.033077940344810486,0.5592422485351562,642846,0.0
<_io.BytesIO object at 0x000002118ADB4040>,0.30738815665245056,0.035265106707811356,0.5569295883178711,642846,0.0
<_io.BytesIO object at 0x000002118ADB4220>,0.21617116034030914,0.03719092160463333,0.5518109202384949,642846,0.0
<_io.BytesIO object at 0x000002118EB1FC70>,0.3915318548679352,0.03179292753338814,0.5595365762710571,642847,0.0
<_io.BytesIO object at 0x000002118ADB4A40>,0.3072631359100342,0.03430570662021637,0.5571489334106445,642847,0.0
<_io.BytesIO object at 0x000002118ADB4810>,0.21598918735980988,0.03658784553408623,0.5519244074821472,642847,0.0
<_io.BytesIO object at 0x000002118EB1FE00>,0.39125239849090576,0.030169392004609108,0.5602381229400635,642848,0.0
<_io.BytesIO object at 0x000002118ADB4770>,0.3070012927055359,0.033160045742988586,0.5577211380004883,642848,0.0
<_io.BytesIO object at 0x000002118ADB41D0>,0.215805783867836,0.03574156016111374,0.5523393750190735,642848,0.0
<_io.BytesIO object at 0x000002118EB1FCC0>,0.39086684584617615,0.028577931225299835,0.5606500506401062,642849,0.0
<_io.BytesIO object at 0x000002118ADB4220>,0.30694177746772766,0.03214709088206291,0.5580466389656067,642849,0.0
<_io.BytesIO object at 0x000002118ADB4860>,0.2156635969877243,0.0349852479994297,0.5526686906814575,642849,0.0
<_io.BytesIO object at 0x000002118EB1FC20>,0.3905484080314636,0.027145283296704292,0.5612185001373291,642850,0.0
<_io.BytesIO object at 0x000002118ADB4540>,0.3068541884422302,0.03108135797083378,0.5584971308708191,642850,0.0
<_io.BytesIO object at 0x000002118ADB4590>,0.2154969871044159,0.03438441455364227,0.5528215169906616,642850,0.0
<_io.BytesIO object at 0x000002118EB1FC20>,0.39043042063713074,0.025900093838572502,0.5615459680557251,642851,0.0
<_io.BytesIO object at 0x000002118ADB4900>,0.3066190779209137,0.030141307041049004,0.5587024688720703,642851,0.0
<_io.BytesIO object at 0x000002118ADB4720>,0.21530884504318237,0.03356548026204109,0.5529965162277222,642851,0.0
<_io.BytesIO object at 0x000002118EB1FD10>,0.390339195728302,0.025197040289640427,0.5615423321723938,642852,0.0
